timestamp,cpu_usage_percent,memory_usage_percent,disk_usage_percent,process_count,net_bytes_sent,net_bytes_recv
2026-04-19 18:07:43,0.0,8.0,0.4,32,4393005,308942214
2026-04-19 18:07:48,0.2,8.0,0.4,32,4393005,308942214
2026-04-19 18:07:54,0.0,8.1,0.4,39,4393005,308942214
2026-04-19 18:07:57,0.0,8.1,0.4,35,4393095,308942304
2026-04-19 18:08:02,0.0,8.1,0.4,36,4393137,308942346
2026-04-19 18:08:07,0.0,8.1,0.4,35,4393137,308942346
2026-04-19 18:08:13,0.0,8.1,0.4,35,4393137,308942346
2026-04-19 18:08:18,0.0,8.1,0.4,35,4393137,308942346
2026-04-19 18:08:23,25.0,8.1,0.4,40,4393137,308942346
2026-04-19 18:08:28,100.0,8.2,0.4,62,4393227,308942436
2026-04-19 18:08:31,100.0,8.3,0.4,75,4393269,308942478
2026-04-19 18:08:36,100.0,8.3,0.4,75,4393269,308942478
2026-04-19 18:08:41,100.0,8.3,0.4,75,4393269,308942478
2026-04-19 18:08:46,100.0,8.3,0.4,76,4393269,308942478
2026-04-19 18:08:51,100.0,8.3,0.4,76,4393269,308942478
2026-04-19 18:08:56,100.0,8.3,0.4,76,4393269,308942478
2026-04-19 18:09:00,100.0,8.2,0.4,75,4393359,308942568
2026-04-19 18:09:05,100.0,8.3,0.4,100,4393401,308942610
2026-04-19 18:09:10,100.0,8.4,0.4,115,4393401,308942610
2026-04-19 18:09:15,100.0,8.4,0.4,115,4393401,308942610
2026-04-19 18:09:20,100.0,8.4,0.4,117,4393401,308942610
2026-04-19 18:09:25,100.0,8.4,0.4,115,4393401,308942610
2026-04-19 18:09:29,100.0,8.4,0.4,117,4393491,308942972
2026-04-19 18:09:34,100.0,8.4,0.4,115,4393533,308943014
2026-04-19 18:09:39,100.0,8.4,0.4,115,4393533,308943014
2026-04-19 18:09:44,100.0,8.4,0.4,115,4393533,308943014
2026-04-19 18:09:49,100.0,8.4,0.4,115,4393533,308943014
2026-04-19 18:09:54,100.0,8.4,0.4,115,4393533,308943014
2026-04-19 18:09:59,100.0,8.4,0.4,115,4393533,308943014
2026-04-19 18:10:02,100.0,8.6,0.4,120,4393623,308943104
2026-04-19 18:10:08,100.0,8.8,0.4,126,4393665,308943146
2026-04-19 18:10:13,100.0,8.8,0.4,124,4393665,308943146
2026-04-19 18:10:18,100.0,8.8,0.4,134,4393665,308943146
2026-04-19 18:10:23,100.0,8.8,0.4,149,4393665,308943146
2026-04-19 18:10:28,100.0,8.9,0.4,181,4393665,308943146
2026-04-19 18:10:31,100.0,9.0,0.4,194,4393755,308943236
2026-04-19 18:10:36,100.0,9.0,0.4,195,4393797,308943278
2026-04-19 18:10:41,100.0,9.0,0.4,195,4393797,308943278
2026-04-19 18:10:46,100.0,9.0,0.4,194,4393797,308943278
2026-04-19 18:10:51,100.0,9.0,0.4,194,4393797,308943278
2026-04-19 18:10:56,100.0,9.0,0.4,194,4393797,308943278
2026-04-19 18:11:01,100.0,13.1,0.4,199,4393797,308943278
2026-04-19 18:11:05,100.0,20.5,0.4,197,4393887,308943368
2026-04-19 18:11:10,100.0,27.8,0.4,197,4393929,308943410
2026-04-19 18:11:15,100.0,34.7,0.4,197,4393929,308943410
2026-04-19 18:11:20,100.0,14.5,0.4,197,4393929,308944050
2026-04-19 18:11:25,100.0,23.1,0.4,197,4393929,308944050
2026-04-19 18:11:30,100.0,29.5,0.4,199,4393929,308944322
2026-04-19 18:11:34,100.0,23.2,0.4,197,4394019,308944412
2026-04-19 18:11:39,100.0,22.1,0.4,197,4394061,308944454
2026-04-19 18:11:44,100.0,22.6,0.4,197,4394061,308944454
